4.Electricity Generation & Distribution & Gas Distribution,"44,507","34,642","64,331","31,021","58,978","55,915","50,746","86,412",-9.2 70.3
5. Construction,"5,276","6,699","8,546","9,857","4,556","2,524","2,733","2,657",8.3 -2.8
6. Transport & Communication,"23,411","20,506","36,653","29,017","32,841","21,229","45,441","36,878",114.0 -18.8
Railways,"1,217","1,943","10,646","3,623","2,788","3,018","20,792","5,270",589.0 -74.7
Post Office & PTCL,"6,460","6,446","5,480","7,496","8,203","7,068","8,640","6,013",22.2 -30.4
Others,"15,733","12,117","20,527","17,898","21,850","11,144","16,009","25,595",43.7 59.9
7. Finance & Insurance,"1,586","3,061","4,303","1,854","2,088","2,655","6,046","3,820",127.7 -36.8
B. General Govt.,"213,946","259,954","204,501","221,902","280,404","328,466","398,614","483,440",21.4 21.3
Federal,"63,088","63,234","60,103","61,959","78,823","87,350","114,592","138,231",31.2 20.6
Provincial,"116,955","162,760","117,343","134,945","166,981","201,083","251,636","299,259",25.1 18.9
District Governments,"33,902","33,960","27,055","24,998","34,600","40,032","32,385","45,950",-19.1 41.9
