,table,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2016-17P,2017-18,2017-18P
Food crops,INDEX OF AGRICULTURAL PRODUCTION,91.2,85.2,91.8,94.9,106.4,107.0,115.0,108.0,124.0,119.0,120.0,120.0,22.56,22.16,23.27,23.67,,23.25,,23.25
Fibre crops,INDEX OF AGRICULTURAL PRODUCTION,95.0,94.4,90.8,89.4,126.9,116.0,114.0,104.0,105.0,115.0,102.0,121.0,22.56,22.16,23.27,23.67,,23.25,,23.25
Other crops,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,95.6,118.0,138.0,108.0,106.0,119.0,125.0,22.56,22.16,23.27,23.67,,23.25,,23.25
Wheat,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,100.0,109.5,98.5,113.0,109.6,118.5,110.3,113.8,122.1,117.9,120.5,,125.4,,119.8
Maize,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,100.0,99.3,115.9,115.5,104.9,119.2,139.5,135.7,159.0,158.7,169.5,,197.2,,183.3
Rice,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,100.0,98.0,100.3,125.3,124.1,87.0,111.1,99.8,122.6,126.2,122.6,,123.5,,134.2
Sugarcane,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,100.0,122.6,143.1,112.0,110.5,123.8,130.7,142.7,151.0,140.7,146.6,,169.0,,181.6
Cotton,INDEX OF AGRICULTURAL PRODUCTION,94.0,103.6,112.1,115.1,101.9,100.0,98.7,89.5,90.8,99.2,88.0,104.4,100.1,98.1,107.2,76.2,,82.0,,91.7
Cropped area (million hectares),BASIC DATA ON AGRICULTURE,22.04,22.12,21.85,22.94,22.78,23.13,23.56,23.85,24.12,23.87,22.72,22.5,22.56,22.16,23.27,23.67,23.25,,,23.25
Improved seed distribution (000 tonnes),BASIC DATA ON AGRICULTURE,193.8,191.57,172.02,178.77,218.12,226.07,218.6,264.67,314.63,312.63,331.02,346.38,327.08,359.18,481.0,473.15,428.17,,,476.61
Water ^ availability (maf),BASIC DATA ON AGRICULTURE,134.77,134.63,134.48,134.78,135.68,137.98,137.8,137.8,131.51,133.7,137.16,135.86,137.51,137.51,138.59,133.0,132.7,,,133.4
Fertilizer offtake (000 n/t),BASIC DATA ON AGRICULTURE,2964.0,2929.0,3020.0,3222.0,3694.04,3804.0,3672.0,3581.0,3711.0,4360.0,3933.0,3861.0,3621.0,4089.0,4316.0,3699.0,5040.0,,,3709.0
Credit disbursed (rs million),BASIC DATA ON AGRICULTURE,44790.0,52314.0,58915.0,73446.0,108733.0,137474.0,168830.0,211561.0,233010.0,248120.0,263022.0,293850.0,336247.0,391353.0,515875.0,598287.0,704488.0,,,569973.0
Tubewells public & private (number in 000),BASIC DATA ON AGRICULTURE,659.3,707.3,769.0,950.1,984.3,999.6,1025.8,1016.1,1070.0,1088.0,1103.4,997.7,1220.4,1317.3,1333.5,1355.5,1361.6,,,
Production of tractors (nos),BASIC DATA ON AGRICULTURE,32553.0,24311.0,27101.0,36059.0,44095.0,49642.0,54431.0,53598.0,60561.0,71607.0,71550.0,48120.0,48871.0,34521.0,45860.0,33883.0,53499.0,,,45325.0
Productoin of meat (000 tonnes),BASIC DATA ON AGRICULTURE,2015.0,2072.0,2132.0,2188.0,2271.0,2515.0,2618.0,2728.0,2843.0,2965.0,3094.0,3232.0,3379.0,3531.0,3696.0,3873.0,4061.0,,,4262.0
Milk (000 tonnes),BASIC DATA ON AGRICULTURE,26284.0,27031.0,27811.0,28624.0,29438.0,31970.0,32986.0,34064.0,35160.0,36299.0,37475.0,38617.0,39855.0,41133.0,42454.0,43818.0,45227.0,,,46682.0
Fish production (000 tonees),BASIC DATA ON AGRICULTURE,629.6,637.8,566.2,573.5,580.6,604.9,640.0,885.0,914.1,925.8,699.9,724.8,728.8,735.0,765.0,788.0,797.0,,,807.0
Total forest production (000 cu.mtr.),BASIC DATA ON AGRICULTURE,472.0,487.0,266.0,313.0,282.0,265.0,373.0,363.0,347.0,356.0,352.0,354.0,354.0,,,,,,,
